BEN (T4.7);;;? Stocktaking Survey Data ?;;;;;;;;;;;
nr in Portal;Short name;Organizations (Legal Name);Has response ?;Provide wallets for UCs?;Kind of wallet;Deployment model;Wallet links;Offline channels;Standards supported;Encoding formats;Selective disclosure;Other input (wallet);Other input (participation);Previous LSP experience
78;SUNET;VETENSKAPSRADET - SWEDISH RESEARCH COUNCI;FALSE;;;;;;;;;;;
88;VALIDATED;VALIDATED ID SL;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;Server wallet on cloud ;Server wallet that can be installed on premise ;";"Public documentation about all our components: https://docs.vididentity.net/docs/intro 
Website with details about all our tools https://www.validatedid.com/en/vididentity";"BLE;QR Code;";" ISO/IEC 18013-5:2021 ; W3C Verifiable Credentials 1.1;";"JSON;CBOR;";"JWT (including SD-JWT) ;";We are currently working on supporting DC API and FIDO2 ;we would like to actively participate in the wallet group and keep working on both the holder wallet as well as the organizational wallet. Furthermore, we also want to provide our tools for the use case partners for the different pilots. ;Yes, we participate in EWC and besides working on the QEAA and signing with the Wallet task, we are also wallet providers in all three piloting phases, authors and reviewers of the RFCs, contributors to interoperability etc. 
89;VERIDAS;VERIDAS DIGITAL AUTHENTICATION SOLUTIONS SL;TRUE;Yes;"Wallets that can be used by natural persons ;";"Mobile wallet ;";https://veridas.com/en/id-wallet/;"QR Code;";" ISO/IEC 18013-5:2021 ;";"JSON;";"JWT (including SD-JWT) ;";We have the capabilities for issuing, verifying and store verifiable credentials in our wallet with some real use cases like authentication in some internal systems via standard protocols (OIDC) using real identity comparing the biometric stored in the credential against a real selfie.;;No
183;Procivis;Procivis GmbH;TRUE;Yes;"Wallets that can be used by natural persons ;";"Mobile wallet ;Server wallet on cloud ;Server wallet that can be installed on premise ;Wallet functionality via API & SDK;";"https://docs.procivis.ch
https://github.com/procivis";"BLE;QR Code;";" ISO/IEC 18013-5:2021 ; W3C Verifiable Credentials 1.1;";"JSON;";"JWT (including SD-JWT) ;JSON-LD;";Procivis focuses primarily on the creation and management of credentials (issuing PIDs, MdLs, QEAA, all types of credentials, all formats, and standards). In addition to the main functionality of providing credentials, we also offer credential verification and storage features via mobile and server-based wallets accessible via SDK or directly via API. Our main mission is to enable national governments, public institutions and service providers to deliver eIDAS 2.0 conformant services on a large scale. We define Procivis One as a robust technology capable of supporting all elements of the digital identity lifecycle (schema definition, design, issuance, storage, revocation, suspension, updating and verification of digital identities) and integrating them into business processes through powerful SDKs and APIs. Although we also provide applications for end users (Holder (Wallet) & Verifier App), our clients can create their own wallets apps , retrieve code of our apps and integrate it into their solutions as a white label. On that basis One of our clients, a service provider, has recently completed a pilot with a public institution trialing our Business Wallet in a real business case environment where the usage of API�s was central & beneficial for a rapid integration.;We would like to support the Wallet group with advice on efficient use of technologies in the Business use cases. Our expertise on Standards and requirements for interoperability also beyond eIDAS could be of benefit for the Wallet group. We are available for contribution to technical subjects and use of technology for performant production environments rather than aspects of business semantics or definition of new to be created standards. ;Members of the Procivis staff have been involved in Blockchain and digital ID projects in Germany and Switzerland in Leading Architect, Development and Project Management roles and can share the experience form these publicly funded projects (next to projects with private enterprises).


11;BIDBAX;BankID BankAxept AS;TRUE;Yes;"Wallets that can be used by natural persons ;";"Mobile wallet ;Server wallet on cloud ;";;"NFC;QR Code;";" ISO/IEC 18013-5:2021 ; W3C Verifiable Credentials 1.1;";"JSON;";"JSON-LD;";The given answers in this form is not a snapshot of available features, but an intention.;;Yes, from NOBID.
26;DIGITEL TS;DIGITEL ON TRUSTED SERVICES, S.L.U.;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;Components for Issuers/Verifiers for Machine;";"At this stage, we do not have a dedicated public website or online resources describing our wallet solution

Relevant information is currently available only within our internal documentation";"NFC;QR Code;";" ISO/IEC 18013-5:2021 ; W3C Verifiable Credentials 1.1;";"JSON;";"JWT (including SD-JWT) ;JSON-LD;";;;Not a LSP for Wallets, but participating in DOME (101084071) (DIGITAL-2021-CLOUD-AI-01) . Implementing https://alastria.github.io/did-method-elsi/ in https://github.com/DOME-Marketplace/iam-components and https://knowledgebase.dome-marketplace.eu/books/company-onboarding-process-guide-for-cloud-service-providers-csp/chapter/onboarding-guidelines
29;EJIE;EJIE (Basque Goverment) ;TRUE;No;;;;;;;;;;
29.1;EIJE Izenpe;;FALSE;;;;;;;;;;;
38;IDnow SAS;IDnow SAS;FALSE;;;;;;;;;;;
51;IZERTIS;IZERTIS;TRUE;Yes;"Wallets that can be used by natural persons ;Wallets that can be used by legal persons ;";"Mobile wallet ;Server wallet that can be installed on premise ;Server wallet that can be provided as a service;";"You can find more information here: https://identfy.es/ https://github.com/izertis/identfy
 
 ";"We will add the proximity communication capabilities in the near future;";" W3C Verifiable Credentials 1.1;";"JSON;";"JWT (including SD-JWT) ;";We can offer a complete wallet suite that includes both a Holder Wallet for natural persons, and a Server Wallet, composed of a Connector and a Business Wallet, designed for legal entities and organizations. The Holder Wallet enables users to store and present credentials on their own behalf. It also supports the issuance of a photo ID-style credential, where a natural person can scan their national ID and capture a selfie to obtain a credential containing their basic identification data, acting as a form of PID. The Server Wallet allows organizations to issue and verify credentials for natural persons. It also enables organizations to receive and store legal credentials (e.g., an IBAN credential). This wallet can be deployed on-premise or offered as a service, and requires integration with the organization�s source of truth in order to retrieve the data needed to issue credentials. It is designed to be business process-agnostic. Limitations: At the moment, our solution does not support selective disclosure. We are happy to support relevant use cases with our tools and expertise, and can provide guidance on wallet integration, credential workflows, and deployment scenarios.;We can contribute our expertise as wallet providers and support both the definition of wallet requirements and aspects related to wallet interoperability. We are also willing and able to attend the WP4 working meetings, preferably if they are scheduled from Monday to Thursday. Additionally, we can provide support with documentation and could assist in coordination tasks as needed.;"In EBSI-VECTOR, we developed the reference server wallet (connector) that enables organizations to issue and receive credentials. We also took part in the education and social security pilots, acting as both server wallet and holder wallet providers. Additionally, we led several work packages and supported coordination activities.

In DC4EU, we contributed by providing our holder wallet, enabling the issuance and verification of credentials in a real-world education pilot scenario. We also participated in the hybrid pilot, which combined the use of digital credentials with certificates as an additional verification mechanism, helping to explore more robust and flexible trust models."
71;SETCCE;SETCCE d.o.o.;FALSE;;;;;;;;;;;


